layer,source_emotion,eval_vector_emotion,score
8,happy,angry,-0.33015161752700806
8,happy,happy,-0.012318873777985573
8,happy,sad,0.0730789378285408
8,happy,angry,-0.33868080377578735
8,happy,happy,-0.06653639674186707
8,happy,sad,0.0945691466331482
8,happy,angry,-0.31658464670181274
8,happy,happy,0.027717769145965576
8,happy,sad,-0.22413359582424164
8,happy,angry,-0.11345693469047546
8,happy,happy,0.009860744699835777
8,happy,sad,0.1175183579325676
8,happy,angry,-0.39134836196899414
8,happy,happy,0.05150984972715378
8,happy,sad,-0.365371435880661
8,happy,angry,-0.20434653759002686
8,happy,happy,-0.2096119225025177
8,happy,sad,0.07615041732788086
8,happy,angry,-0.27539265155792236
8,happy,happy,0.09279032051563263
8,happy,sad,-0.14872197806835175
8,happy,angry,-0.2302733212709427
8,happy,happy,0.08054050803184509
8,happy,sad,-0.05322594195604324
8,happy,angry,-0.38372451066970825
8,happy,happy,-0.20224623382091522
8,happy,sad,-0.07247913628816605
8,happy,angry,-0.08664146065711975
8,happy,happy,-0.1984412670135498
8,happy,sad,0.06392249464988708
8,happy,angry,-0.2841683328151703
8,happy,happy,-0.013758065178990364
8,happy,sad,-0.11483784765005112
8,happy,angry,-0.251609742641449
8,happy,happy,0.08168396353721619
8,happy,sad,-0.1412365436553955
8,happy,angry,-0.26785188913345337
8,happy,happy,0.031798794865608215
8,happy,sad,-0.09562646597623825
8,happy,angry,-0.24321234226226807
8,happy,happy,0.2253531962633133
8,happy,sad,-0.21308943629264832
8,happy,angry,-0.2940600514411926
8,happy,happy,0.18511465191841125
8,happy,sad,-0.12428271770477295
8,happy,angry,-0.5014234781265259
8,happy,happy,0.1902286410331726
8,happy,sad,-0.14545556902885437
8,happy,angry,-0.30916711688041687
8,happy,happy,0.14531302452087402
8,happy,sad,-0.06047533452510834
8,happy,angry,-0.4171326458454132
8,happy,happy,0.00792279839515686
8,happy,sad,-0.06275197118520737
8,happy,angry,-0.2379651516675949
8,happy,happy,0.4670678675174713
8,happy,sad,-0.34345412254333496
8,happy,angry,-0.6232731938362122
8,happy,happy,0.03731708228588104
8,happy,sad,0.03955699875950813
8,happy,angry,-0.3528030216693878
8,happy,happy,0.21792072057724
8,happy,sad,-0.24791687726974487
